anything.else,1,1
coalfire.com,1,2
dell.com,1,3
dellemc.com,1,3
dellteam.com,1,3
delltechnologies.com,1,3
t-mobile.com,1,4
sprint.com,1,4
gsm1900.org,1,4
netgear.com,1,5
arubanetworks.com,1,6
arlo.com,1,7
atlassian.com,1,8
atlassian.net,0,8
atl-paas.net,1,8
bitbucket.io,1,8
trello.com,1,8
carvana.net,1,9
carvanaauction.net,1,9
carvanadash.com,1,9
carvana.io,1,9
carvanatech.com,1,9
drive4carvana.com,1,9
nab.com.au,1,10
nabbroker.com.au,1,10
nabequitylending.com.au,1,10
nabmarginlending.com.au,1,10
nabtest.com.au,1,10
nabtrade.com.au,1,10
developer.nab,1,10
medfin.com.au,1,10
advantedge.com.au,1,10
npubank.com.au,1,10
ubank.com.au,1,10
hicaps.com.au,1,10
lanternpay.com,1,10
claiming.com.au,1,10
jbwere.com.au,1,10
jbwere.co.nz,1,10
nabtradetest.com.au,1,10
draftkings.com,1,11
dkcorpit.com,1,11
dkexternal.com,1,11
dkinternal.com,1,11
draftkingsmedia.com,1,11
meraki.com,1,12
ikarem.io,1,12
tesla.com,1,13
teslamotors.com,1,13
tesla.cn,1,13
tesla.services,1,13
sophos.com,1,14
astaro.com,1,14
cyberoam.com,1,14
hitmanpro.com,1,14
reflexion.net,1,14
zalora.io,1,15
zalora.net,1,15
zalora-ops.com,1,15
thrivent.com,1,16
smartnews.com,1,17
smartnews.net,1,17
smartnews.be,1,17
smartnews.co.jp,1,17
smartnews-ads.com,1,17
smartnews-smri.com,1,17
devsmartnews.be,1,17
devsmartnews.com,1,17
devsmartnews.net,1,17
xcal.tv,1,18
xfinity.com,0,18
xfinity.net,0,18
xfinityhome.com,1,18
xfiplatform.com,1,18
kohls.com,1,19
fisglobal.com,1,20
worldpay.com,0,37
vantiv.com,1,20
fis.dev,1,20
fnfis.com,1,20
fnis.com,1,20
sungardas.com,1,20
vantivpartnerportal.com,1,20
worldpaypp.com,0,37
infovantiv.com,1,20
efunds.com,1,20
cisco.com,1,21
lifelock.com,1,22
norton.com,1,22
nortonlifelock.com,1,22
patientfusion.com,1,23
practicefusion.com,1,23
ladbrokes.com,1,24
partycasino.com,1,24
bwin.com,1,24
sportingbet.com,1,24
coral.co.uk,1,24
gopro.com,1,25
gopro-dse.com,1,25
latitudefinancial.com,1,26
latitudeinfinity.com.au,1,26
latitudefinancial.com.au,1,26
latitudefinancial.co.nz,1,26
umiloans.com.au,1,26
latitudepay.com.au,1,26
lfscnp.com,1,26
latitudepayapps.com,1,26
interestfree.com.au,1,26
